# Row stats use world X because X should stay almost constant within one row.
# Format: row_index mean_x_m std_x_m var_x_m n_values
row 01 0.2608655071 0.0058046827 0.0000336943 416
row 02 0.2508979246 0.0050906627 0.0000259148 416
row 03 0.2402554814 0.0049471114 0.0000244739 416
row 04 0.2290226064 0.0055215035 0.0000304870 416
row 05 0.2170553232 0.0068499267 0.0000469215 416
row 06 0.2044720390 0.0087993904 0.0000774293 416

# Column stats use world Y because Y should stay almost constant within one column.
# Format: col_index mean_y_m std_y_m var_y_m n_values
col 01 0.0373905797 0.0101419008 0.0001028582 312
col 02 0.0243376967 0.0084792691 0.0000718980 312
col 03 0.0113304048 0.0071406240 0.0000509885 312
col 04 -0.0016029513 0.0061015285 0.0000372287 312
col 05 -0.0144345978 0.0054265284 0.0000294472 312
col 06 -0.0271368687 0.0051623184 0.0000266495 312
col 07 -0.0396585626 0.0053288720 0.0000283969 312
col 08 -0.0522306322 0.0059148799 0.0000349858 312
