# Row stats use world X because X should stay almost constant within one row.
# Format: row_index mean_x_m std_x_m var_x_m n_values
row 01 0.3195781153 0.0217812769 0.0004744240 572
row 02 0.3086371577 0.0178692759 0.0003193110 572
row 03 0.2964198721 0.0145864785 0.0002127654 572
row 04 0.2837418682 0.0121841429 0.0001484533 572
row 05 0.2703933111 0.0111300234 0.0001238774 572
row 06 0.2566687431 0.0117451590 0.0001379488 572
row 07 0.2423513787 0.0138560471 0.0001919900 572
row 08 0.2274359581 0.0169334208 0.0002867407 572
row 09 0.2118199414 0.0205494629 0.0004222804 572

# Column stats use world Y because Y should stay almost constant within one column.
# Format: col_index mean_y_m std_y_m var_y_m n_values
col 01 0.0865660374 0.0294726877 0.0008686393 396
col 02 0.0720891337 0.0248198585 0.0006160254 396
col 03 0.0574704852 0.0202943647 0.0004118612 396
col 04 0.0427456512 0.0159816977 0.0002554147 396
col 05 0.0278816690 0.0121020403 0.0001464594 396
col 06 0.0128451601 0.0091857180 0.0000843774 396
col 07 -0.0022728570 0.0083146637 0.0000691336 396
col 08 -0.0175158646 0.0100172985 0.0001003463 396
col 09 -0.0329146335 0.0133489948 0.0001781957 396
col 10 -0.0484531730 0.0174021603 0.0003028352 396
col 11 -0.0641877480 0.0217911131 0.0004748526 396
col 12 -0.0800308805 0.0263697937 0.0006953660 396
col 13 -0.0960802994 0.0310456941 0.0009638351 396
